data_Lançamento;1. Pessoal Ativo;2. Pessoal Inativo e Pensionistas;4. Indenizações por Demissão e Incentivo à Demissão;5. Decorrentes de Decisão Judicial;6. Despesas de Exercicios Anteriores;7. Inativos e Pensionistas com Recursos Vinculados;9. Receita Corrente;10. Deduções
05-2025;964593603,79;675896763,95;;;;237024515,63;5013923920,83;1361953927,84
06-2025;1061594680,21;717234636,89;;;;133537747,98;5184270047,34;1328093542,23
07-2025;1031537202,08;713430741,23;;;;308146395,56;4697518335,43;1355046952,65
08-2025;1027498706,07;716584407,57;;;;222535574,05;5489204912,92;1510977193,17
09-2025;1112811911,98;722033528,05;;;;216344545,02;4915299426,52;1351853186,51
10-2025;1213996371,49;725622984,78;;;;229956039,28;5073525909,96;1429247432,36
11-2025;1046065386,54;726003645,57;;;;209641069,37;5626792780,96;1461376085,65
12-2025;883173261,43;725585499,85;;;;382690723,66;3171745988,44;705290920,89
01-2026;1068827558,83;730423422,11;;;;238463980,86;5709831648,38;1412170476,51
02-2026;1041557234,78;730241735,75;;;;218141411,34;6050546574,86;1710413497,24
03-2026;;;;;;;3247994408,22;539863966,47
